Key,File,Type,UsedInMainMenu,NoTranslate,english
apparelBundleGroupDesc,items,Clothing,,,Crafting packages of apparel items can be sold at trader for bonus dukes.\n\nCaution: you will lose any die or mods that are attached to the apparel items.
apparelBundleGhillieSuitHood,items,Clothing,,,Package of Ghillie Suit Hoods (5)
apparelBundleGhillieSuitPants,items,Clothing,,,Package of Ghillie Suit Pants (5)
apparelBundleGhillieSuitJacket,items,Clothing,,,Package of Ghillie Suit Jacket (5)
apparelBundleHazmatBoots,items,Clothing,,,Package of Hazmat Boots (5)
apparelBundleHazmatPants,items,Clothing,,,Package of Hazmat Pants (5)
apparelBundleHazmatJacket,items,Clothing,,,Package of Hazmat Jackets (5)
apparelBundleHazmatGloves,items,Clothing,,,Package of Hazmat Gloves (5)
apparelBundleHazmatMask,items,Clothing,,,Package of Hazmat Mask (5)
apparelBundleCowboyHat,items,Clothing,,,Package of Cowboy Hats (5)
apparelBundleBallCap,items,Clothing,,,Package of Ball Caps (5)
apparelBundleSkullCap,items,Clothing,,,Package of Skull Caps (5)
apparelBundlePressboyCap,items,Clothing,,,Package of Pressboy Caps (5)
apparelBundleGasMask,items,Clothing,,,Package of Gas Masks (5)
apparelBundleShades,items,Clothing,,,Package of Shades (5)
apparelBundleToughGuySunglasses,items,Clothing,,,Package of Tough Guy Sunglasses (5) 
apparelBundleAviatorGoggles,items,Clothing,,,Package of Aviator Goggles (5)
apparelBundleSkiGoggles,items,Clothing,,,Package of Ski Goggles (5)
apparelBundleNerdGlasses,items,Clothing,,,Package of Nerd Glasses (5)
apparelBundleNightvisionGoggles,items,Clothing,,,Package of Nightvision Goggles (5)
apparelBundleCigar,items,Clothing,,,Package of Cigars (5)
apparelBundleCigarette,items,Clothing,,,Package of Cigarettes (5)
apparelBundleFacialPiercings,items,Clothing,,,Package of Facial Piercings (5)
apparelBundleBandana,items,Clothing,,,Package of Bandanas (5)
apparelBundleDenimPants,items,Clothing,,,Package of Denim Pants (5)
apparelBundleDenimShortsPants,items,Clothing,,,Package of Denim Short Pants (5)
apparelBundleArmyPants,items,Clothing,,,Package of BDU Bottoms (5)
apparelBundleOveralls,items,Clothing,,,Package of Overalls (5)
apparelBundleSkirt,items,Clothing,,,Package of Skirts (5)
apparelBundleGothPants,items,Clothing,,,Package of Goth Pants (5)
apparelBundleWornBoots,items,Clothing,,,Package of Worn Boots (5)
apparelBundleRunningShoesRegular,items,Clothing,,,Package of Running Shoes (5)
apparelBundleRunningShoesHP,items,Clothing,,,Package of Running Shoes HP (5)
apparelBundleCowboyBoots,items,Clothing,,,Package of Cowboy Boots (5)
apparelBundleGothBoots,items,Clothing,,,Package of Goth Boots (5)
apparelBundleLongShirt,items,Clothing,,,Package of Long Shirt (5)
apparelBundleArmyShirt,items,Clothing,,,Package of BDU Tops (5)
apparelBundleSweatshirt,items,Clothing,,,Package of Sweatshirts (5)
apparelBundleFlannelShirt,items,Clothing,,,Package of Flannel Shirts (5)
apparelBundleTShirtPlain,items,Clothing,,,Package of T-Shirts (5)
apparelBundleTShirtZU,items,Clothing,,,Package of ZU T-Shirts (5)
apparelBundleTankTop,items,Clothing,,,Package of Tank Tops (5)
apparelBundleHoodySweatshirt,items,Clothing,,,Package of Hoody Sweatshirts (5)
apparelBundleCoatLeatherPoncho,items,Clothing,,,Package of Leather Ponchos (5)
apparelBundleCoatLeatherDuster,items,Clothing,,,Package of Leather Dusters (5)
apparelBundlePufferCoat,items,Clothing,,,Package of Puffer Coats (5)
apparelBundleCoatJacketGeneric,items,Clothing,,,Package of Jackets (5)
apparelBundleCoatJacketLetterZU,items,Clothing,,,Package of ZU School Jackets (5)
apparelBundleSuitPants,items,Clothing,,,Package of Suit Pants (5)
apparelBundleSuitJacket,items,Clothing,,,Package of Suit Jackets (5)
apparelBundleSuitDressShoes,items,Clothing,,,Package of Suit Dress Shoes (5)
